GEO.id,GEO.id2,GEO.display-label,HC02_EST_VC02,HC02_EST_VC36
Id,Id2,Geography,Median income (dollars); Estimate; Households,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Male householder
8600000US00601,00601,ZCTA5 00601,13495,8375
8600000US00602,00602,ZCTA5 00602,15106,9576
8600000US00603,00603,ZCTA5 00603,15079,10088
8600000US00606,00606,ZCTA5 00606,12098,6786
8600000US00610,00610,ZCTA5 00610,16923,11489
8600000US00612,00612,ZCTA5 00612,18111,9059
8600000US00616,00616,ZCTA5 00616,16279,8531
8600000US00617,00617,ZCTA5 00617,15114,10879
8600000US00622,00622,ZCTA5 00622,12059,6138
8600000US00623,00623,ZCTA5 00623,16447,11878
8600000US00624,00624,ZCTA5 00624,15500,9209
8600000US00627,00627,ZCTA5 00627,17762,11073
8600000US00631,00631,ZCTA5 00631,11651,5568
8600000US00637,00637,ZCTA5 00637,15882,9713
8600000US00638,00638,ZCTA5 00638,13735,7731
8600000US00641,00641,ZCTA5 00641,14620,10231
8600000US00646,00646,ZCTA5 00646,28530,20599
8600000US00647,00647,ZCTA5 00647,14533,8346
8600000US00650,00650,ZCTA5 00650,16166,9811
8600000US00652,00652,ZCTA5 00652,10423,9568
8600000US00653,00653,ZCTA5 00653,13292,7651
8600000US00656,00656,ZCTA5 00656,14669,7985
8600000US00659,00659,ZCTA5 00659,18669,17746
8600000US00660,00660,ZCTA5 00660,20428,9823
8600000US00662,00662,ZCTA5 00662,14735,9580
8600000US00664,00664,ZCTA5 00664,17048,9393
8600000US00667,00667,ZCTA5 00667,13843,11871
8600000US00669,00669,ZCTA5 00669,12063,7290
8600000US00670,00670,ZCTA5 00670,14438,6922
8600000US00674,00674,ZCTA5 00674,17560,12205
8600000US00676,00676,ZCTA5 00676,14362,10898
8600000US00677,00677,ZCTA5 00677,16590,11754
8600000US00678,00678,ZCTA5 00678,13975,11624
8600000US00680,00680,ZCTA5 00680,14877,9723
8600000US00682,00682,ZCTA5 00682,15312,7244
8600000US00683,00683,ZCTA5 00683,15412,7607
8600000US00685,00685,ZCTA5 00685,13705,8831
8600000US00687,00687,ZCTA5 00687,14596,12285
8600000US00688,00688,ZCTA5 00688,14306,10962
8600000US00690,00690,ZCTA5 00690,17208,15000
8600000US00692,00692,ZCTA5 00692,18145,11598
8600000US00693,00693,ZCTA5 00693,16230,11312
8600000US00694,00694,ZCTA5 00694,9500,15341
8600000US00698,00698,ZCTA5 00698,14810,8893
8600000US00703,00703,ZCTA5 00703,13687,8524
8600000US00704,00704,ZCTA5 00704,13327,9734
8600000US00705,00705,ZCTA5 00705,15930,8557
8600000US00707,00707,ZCTA5 00707,16043,9886
8600000US00714,00714,ZCTA5 00714,16114,9551
8600000US00715,00715,ZCTA5 00715,15029,6991
8600000US00716,00716,ZCTA5 00716,18845,10305
8600000US00717,00717,ZCTA5 00717,14178,10541
8600000US00718,00718,ZCTA5 00718,16655,12216
8600000US00719,00719,ZCTA5 00719,16062,10121
8600000US00720,00720,ZCTA5 00720,14274,10995
8600000US00723,00723,ZCTA5 00723,14777,7868
8600000US00725,00725,ZCTA5 00725,20944,14334
8600000US00727,00727,ZCTA5 00727,28864,15146
8600000US00728,00728,ZCTA5 00728,18849,9781
8600000US00729,00729,ZCTA5 00729,23574,11285
8600000US00730,00730,ZCTA5 00730,16595,11339
8600000US00731,00731,ZCTA5 00731,14974,8790
8600000US00735,00735,ZCTA5 00735,20543,13714
8600000US00736,00736,ZCTA5 00736,20874,11808
8600000US00738,00738,ZCTA5 00738,21779,17023
8600000US00739,00739,ZCTA5 00739,24295,12552
