GEO.id,GEO.id2,GEO.display-label,HC02_EST_VC02,HC02_EST_VC10,HC02_EST_VC22,HC02_EST_VC30
Id,Id2,Geography,Median income (dollars); Estimate; Households,Median income (dollars); Estimate; Households - Two or more races,Median income (dollars); Estimate; FAMILIES - Families,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households
8600000US00601,00601,ZCTA5 00601,11507,2885,13283,8183
8600000US00602,00602,ZCTA5 00602,15511,14913,18694,8689
8600000US00603,00603,ZCTA5 00603,16681,19748,20719,11021
8600000US00606,00606,ZCTA5 00606,11648,9219,14871,8624
8600000US00610,00610,ZCTA5 00610,17751,18400,21509,10465
8600000US00612,00612,ZCTA5 00612,17208,23676,20999,9704
8600000US00616,00616,ZCTA5 00616,14490,-,20123,7109
8600000US00617,00617,ZCTA5 00617,15645,-,18465,8756
8600000US00622,00622,ZCTA5 00622,16784,-,22963,11278
8600000US00623,00623,ZCTA5 00623,17134,36384,21509,9544
8600000US00624,00624,ZCTA5 00624,16764,32292,18476,10524
8600000US00627,00627,ZCTA5 00627,17206,-,20911,9222
8600000US00631,00631,ZCTA5 00631,7948,-,11500,5938
8600000US00637,00637,ZCTA5 00637,14877,17589,19311,9099
8600000US00638,00638,ZCTA5 00638,12486,-,15317,9081
8600000US00641,00641,ZCTA5 00641,16181,16793,20213,9124
8600000US00646,00646,ZCTA5 00646,27967,22371,33284,14239
8600000US00647,00647,ZCTA5 00647,13312,23917,15267,9257
8600000US00650,00650,ZCTA5 00650,15807,-,18906,10078
8600000US00652,00652,ZCTA5 00652,19497,-,22126,11218
8600000US00653,00653,ZCTA5 00653,13175,-,14281,6514
8600000US00656,00656,ZCTA5 00656,14828,20326,16602,10104
8600000US00659,00659,ZCTA5 00659,18480,16182,23401,10307
8600000US00660,00660,ZCTA5 00660,20589,22548,25322,10982
8600000US00662,00662,ZCTA5 00662,16291,24894,18486,9695
8600000US00664,00664,ZCTA5 00664,15749,-,20149,8208
8600000US00667,00667,ZCTA5 00667,12736,34250,14768,9978
8600000US00669,00669,ZCTA5 00669,12552,-,15455,6854
